Name,latitude,longitude
Blakehurst,-33.9898519,151.1085596
Punchbowl,-33.928717,151.0522591
Meadowbank,-33.8174993,151.0884249
Mosman,-33.8283536,151.2476855
Riverwood,-33.9472222,151.0530556
Castle Cove,-33.7865285,151.2143187
Dulwich Hill,-33.9045849,151.1386091
Five Dock,-33.8690024,151.1290231
Umina,-33.5177778,151.3094444
Campsie,-33.9143894,151.1032133
Hunters Hill,-33.8298901,151.1360045
Mortdale,-33.9672997,151.0721865
Chatswood,-33.7967377,151.1814306
Kogarah,-33.968226,151.1354509
Pennant Hills,-33.7384663,151.0716639
Lidcombe,-33.8630649,151.0456771
Burwood,-33.8858088,151.1024805
Hornsby,-33.5724083,151.1317755
Epping,-33.7718546,151.0745367
Dee Why West,,
Harbord,-33.7750987,151.2844815
Sefton,-33.8873088,151.0106256
Marrickville,-33.9104,151.1560775
Greenacre Park,-33.9077491,151.0553178
Enfield,-33.8900628,151.0959145
Arncliffe,-33.938236,151.145508
Revesby,-33.9436876,151.0137191
Cardiff,-32.9430556,151.6552778
Top Ryde,-33.8124512,151.1065649
Narrabeen,-33.7135699,151.2978164
Bankstown,-33.9197875,151.0359369
Concord,-33.8556716,151.1067667
Caringbah,-34.0354477,151.1248018
Bass Hill,-33.8986251,150.9974484
Newcastle Cbd,-33.8684074,151.2101958
Maroubra,-33.9453441,151.2456824
Balgowlah North,-33.7881457,151.2507285
Adamstown,-32.9337786,151.7200237
Jesmond,-32.9036111,151.6941667
Kirrawee,-34.0344781,151.0726428
Beacon Hill,-33.751787,151.2600828
Woy Woy,-33.4880548,151.3274925
Charmhaven,-33.2230209,151.5057999
Charlestown,-32.9640725,151.6939632
St. Peters,-33.9111235,151.1761345
Brookvale,-33.7628854,151.2707024
Noraville,-33.2643752,151.5581978
Cronulla,-34.0575259,151.1523851
Broadmeadow,-32.9225,151.7302778
Rockdale,-33.9542619,151.1403655
Gore Hill,-33.815,151.1844444
Erina,-33.44,151.3927778
Leightonfield,-33.8815246,150.9852256
Potts Hill,-33.8922191,151.0329222
Gateshead,-32.9816667,151.6927778
Pymble,-33.7450185,151.1424708
Mascot,-33.9289562,151.1951782
Milperra,-33.9388237,150.9846424
Matraville,-33.9639325,151.2334198
Mayfield West,-32.890084,151.7262824
Botany,-33.947829,151.1990644
Edgeworth,-32.9197222,151.6311111
Flemington,-33.8648765,151.069948
Zetland,-33.9076623,151.2082183
Swansea,-33.0866519,151.6346059
Avoca,-34.6130929,150.4790842
Jewells,-33.0066667,151.6877778
Auburn,-33.8545702,151.0255673
Green Square,-33.9061988,151.2024361
Maryland,-32.8788889,151.6636111
Argenton,-32.9352978,151.632185
Macquarie Park,-33.7814961,151.1256747
Telarah,-32.7234001,151.5398203
Nelson Bay,-32.7218138,152.1440889
Lisarow,-33.3822108,151.3699831
Berowra,-33.6235384,151.1531676
Homebush Bay,-33.8306908,151.0805789
Somersby,-33.365,151.2844444
Morisset,-33.1090883,151.4879121
West Gosford,-33.415,151.3177778
Wyong,-33.2825132,151.4256691
Rutherford,-32.7130291,151.525869
Rothbury,-32.709925,151.3266706
Muswellbrook,-32.4881159,150.516408
