Top 10 substation locations by residential fraction

list of substations with residential fractions > 0.7 and industrial fractions < 0.05 found here "/home/565/pv3484/aus_substation_electricity/data/cleaned_data/QLDRF_0.7_IF_0.05.csv"

                  Name  Residential
BLAKE       Blakehurst        0.850
PUNCH        Punchbowl        0.826
MEADO       Meadowbank        0.825
MOSMA           Mosman        0.817
RIVER        Riverwood        0.813
CA_CO      Castle Cove        0.807
DU_HI     Dulwich Hill        0.799
FI_DO        Five Dock        0.798
UMINA            Umina        0.790
CAMPS          Campsie        0.789

    	Name	        Industrial
BLAKE	Blakehurst	    0.021
PUNCH	Punchbowl	    0.038
MEADO	Meadowbank	    0.015
MOSMA	Mosman	        0.001
RIVER	Riverwood	    0.042
CA_CO	Castle Cove	    0.031
DU_HI	Dulwich Hill    0.007
FI_DO	Five Dock	    0.020
UMINA	Umina	        0.001
CAMPS	Campsie	        0.057

